,Day,Return
1055,22,0.98594365
1056,21,1.00313342
1057,20,0.98233194
1058,17,0.99784999
1059,16,0.99761
1060,15,1.00996472
1061,14,0.99342105
1062,13,0.98875312
1063,10,1.01725417
1064,9,0.97964377
1065,8,0.98010807
1066,7,0.99368657
1067,6,1.01157932
1068,2,0.98866989
1069,1,1.01832823
1070,31,0.99604956
1071,30,0.98729465
1072,27,0.99109758
1073,26,1.00796977
1074,25,0.99935103
1075,24,0.99923363
1076,23,1.01714937
1077,20,1.03500279
1078,19,1.01167828
1079,18,1.02404681
1080,17,0.99558315
1081,16,1.00301766
1082,13,0.99967908
1083,12,1.00613497
1084,11,0.9890145
1085,10,0.99415836
1086,9,0.99118887
1087,6,0.98086302
1088,5,0.99808996
1089,4,0.99815498
1090,3,0.97411934
1091,2,1.00711958
1092,27,1.0017528
1093,26,1.00006044
1094,25,1.01684081
1095,24,0.99760868
1096,23,1.0057971
1097,20,0.99143993
1098,19,0.99301761
1099,18,0.99818182
1100,17,0.95558001
1101,16,0.99579008
1102,13,1.03030303
1103,12,1.00327869
1104,11,0.99230997
1105,10,0.99616971
1106,9,1.01616766
1107,6,0.96721881
1108,5,0.99366943
1109,4,1.00468343
1110,3,1.00523104
1111,2,0.99762264
1112,30,1.01728308
1113,29,0.94193799
1114,28,0.9960155
1115,27,1.00780814
1116,26,0.97994207
1117,23,0.9983086
1118,22,1.01086537
1119,21,1.00761365
1120,20,1.01672505
1121,19,0.993823
1122,16,1.05037159
1123,15,1.00605269
1124,14,0.98798147
1125,13,1.02920413
1126,12,1.00454601
1127,9,1.00818871
1128,8,0.98995765
1129,7,1.00012101
1130,6,1.02138178
1131,5,1.02788541
1132,2,1.00241961
1133,31,0.96320147
1134,30,1.03209267
1135,29,0.98197414
1136,26,1.02074741
1137,24,0.99993656
1138,23,1.0052937
1139,22,0.9748197
1140,19,1.01316535
1141,18,1.00755268
1142,17,1.00203511
1143,16,0.97265867
1144,15,0.94904309
1145,12,0.99625687
1146,11,1.00181637
1147,10,0.99894644
1148,9,1.04418775
1149,8,1.00392686
1150,5,0.99015796
1151,4,1.00249711
1152,3,0.99702453
1153,2,1.00054681
1154,1,1.06303688
1155,28,0.95503331
1156,27,0.98141534
1157,26,0.99005094
1158,25,1.01231647
1159,24,1.00273773
1160,21,1.01038849
1161,20,1.00799306
1162,19,0.99660368
1163,18,1.00241411
1164,17,0.99073961
1165,14,1.04171724
1166,13,0.9977054
1167,12,0.99834553
1168,11,1.00672646
1169,10,0.98847518
1170,7,1.0240581
1171,6,1.00567367
1172,5,0.95634277
1173,4,0.9923872
1174,3,1.00024763
1175,31,0.97974161
1176,30,0.96432123
1177,29,0.99193548
1178,28,1.0067169
1179,27,0.99505986
1180,24,1.00046517
1181,23,1.00157242
1182,22,0.98052764
1183,21,1.00389819
1184,20,1.01148092
1185,17,0.99314714
1186,16,0.99569954
1187,15,1.0042612
1188,14,0.99438846
1189,13,1.00541163
1190,10,1.00144134
1191,9,0.9994238
1192,8,1.01106904
1193,7,0.99133699
1194,6,1.03004164
1195,3,0.98361615
1196,2,0.99615295
1197,1,1.01215339
1198,30,0.97006811
1199,29,0.99176978
1200,26,1.0061679
1201,25,0.99066478
1202,24,0.99431818
1203,23,1.00287729
1204,22,0.99578652
1205,19,0.96226619
1206,18,0.99854251
1207,17,0.99064171
1208,16,1.00241222
1209,15,1.00225649
1210,12,0.99604003
1211,11,0.98612137
1212,10,0.99532538
1213,9,1.00152551
1214,8,0.99155018
1215,5,1.00730311
1216,4,0.99352717
1217,3,1.00067906
1218,2,0.99150611
1219,1,0.99372105
1220,29,0.99743326
1221,28,1.00226384
1222,27,1.00465212
1223,26,1.00082773
